S_0,v_0,kappa,theta,gamma,rho,r,K,T,EEP
100.0,0.0790400114015335,2.4096128258122347,0.0227294645950234,0.0421012795404368,-0.5291436463301131,0.0600045697420731,100,0.5,0.3629842041827018
100.0,0.0790400114015335,2.4096128258122347,0.0227294645950234,0.0421012795404368,-0.5291436463301131,0.0600045697420731,105,0.5,0.6084581739296482
100.0,0.0790400114015335,2.4096128258122347,0.0227294645950234,0.0421012795404368,-0.5291436463301131,0.0600045697420731,110,0.5,0.9517437187672116
100.0,0.0790400114015335,2.4096128258122347,0.0227294645950234,0.0421012795404368,-0.5291436463301131,0.0600045697420731,90,0.75,0.2022470529686519
100.0,0.0790400114015335,2.4096128258122347,0.0227294645950234,0.0421012795404368,-0.5291436463301131,0.0600045697420731,95,0.75,0.366996169792857
100.0,0.0790400114015335,2.4096128258122347,0.0227294645950234,0.0421012795404368,-0.5291436463301131,0.0600045697420731,100,0.75,0.6172939231958381
100.0,0.0790400114015335,2.4096128258122347,0.0227294645950234,0.0421012795404368,-0.5291436463301131,0.0600045697420731,105,0.75,0.9715925202091916
100.0,0.0790400114015335,2.4096128258122347,0.0227294645950234,0.0421012795404368,-0.5291436463301131,0.0600045697420731,110,0.75,1.4437436401295771
100.0,0.0790400114015335,2.4096128258122347,0.0227294645950234,0.0421012795404368,-0.5291436463301131,0.0600045697420731,90,1.0,0.3198331532042102
100.0,0.0790400114015335,2.4096128258122347,0.0227294645950234,0.0421012795404368,-0.5291436463301131,0.0600045697420731,95,1.0,0.5506464829497539
100.0,0.0790400114015335,2.4096128258122347,0.0227294645950234,0.0421012795404368,-0.5291436463301131,0.0600045697420731,100,1.0,0.8866776386690098
100.0,0.0790400114015335,2.4096128258122347,0.0227294645950234,0.0421012795404368,-0.5291436463301131,0.0600045697420731,105,1.0,1.3463479634227218
100.0,0.0790400114015335,2.4096128258122347,0.0227294645950234,0.0421012795404368,-0.5291436463301131,0.0600045697420731,110,1.0,1.9422316948409504
100.0,0.0469678729909336,2.337080373816406,0.0362188943219558,0.0858261072536556,-0.5013284628034343,0.0154646510520852,90,0.5,0.0136072328377159
100.0,0.0469678729909336,2.337080373816406,0.0362188943219558,0.0858261072536556,-0.5013284628034343,0.0154646510520852,95,0.5,0.0296306101960452
100.0,0.0469678729909336,2.337080373816406,0.0362188943219558,0.0858261072536556,-0.5013284628034343,0.0154646510520852,100,0.5,0.0583416015718656
100.0,0.0469678729909336,2.337080373816406,0.0362188943219558,0.0858261072536556,-0.5013284628034343,0.0154646510520852,105,0.5,0.1051908858897103
100.0,0.0469678729909336,2.337080373816406,0.0362188943219558,0.0858261072536556,-0.5013284628034343,0.0154646510520852,110,0.5,0.1759743323449782
100.0,0.0469678729909336,2.337080373816406,0.0362188943219558,0.0858261072536556,-0.5013284628034343,0.0154646510520852,90,0.75,0.029361086966738
100.0,0.0469678729909336,2.337080373816406,0.0362188943219558,0.0858261072536556,-0.5013284628034343,0.0154646510520852,95,0.75,0.0554102118167891
100.0,0.0469678729909336,2.337080373816406,0.0362188943219558,0.0858261072536556,-0.5013284628034343,0.0154646510520852,100,0.75,0.097155408295106
100.0,0.0469678729909336,2.337080373816406,0.0362188943219558,0.0858261072536556,-0.5013284628034343,0.0154646510520852,105,0.75,0.1596857979173531
100.0,0.0469678729909336,2.337080373816406,0.0362188943219558,0.0858261072536556,-0.5013284628034343,0.0154646510520852,110,0.75,0.248236369463024
100.0,0.0469678729909336,2.337080373816406,0.0362188943219558,0.0858261072536556,-0.5013284628034343,0.0154646510520852,90,1.0,0.048865330894698
100.0,0.0469678729909336,2.337080373816406,0.0362188943219558,0.0858261072536556,-0.5013284628034343,0.0154646510520852,95,1.0,0.0849496699841001
100.0,0.0469678729909336,2.337080373816406,0.0362188943219558,0.0858261072536556,-0.5013284628034343,0.0154646510520852,100,1.0,0.1391200563065577
100.0,0.0469678729909336,2.337080373816406,0.0362188943219558,0.0858261072536556,-0.5013284628034343,0.0154646510520852,105,1.0,0.2161841166069091
100.0,0.0469678729909336,2.337080373816406,0.0362188943219558,0.0858261072536556,-0.5013284628034343,0.0154646510520852,110,1.0,0.320990142332997
100.0,0.0303221192517068,3.89929944669236,0.0251029257476129,0.0704911124286782,-0.4821929141397029,0.024205029489088,90,0.5,0.0158245550934991
100.0,0.0303221192517068,3.89929944669236,0.0251029257476129,0.0704911124286782,-0.4821929141397029,0.024205029489088,95,0.5,0.0436546682984309
100.0,0.0303221192517068,3.89929944669236,0.0251029257476129,0.0704911124286782,-0.4821929141397029,0.024205029489088,100,0.5,0.1035559267608912
100.0,0.0303221192517068,3.89929944669236,0.0251029257476129,0.0704911124286782,-0.4821929141397029,0.024205029489088,105,0.5,0.2155888869709716
100.0,0.0303221192517068,3.89929944669236,0.0251029257476129,0.0704911124286782,-0.4821929141397029,0.024205029489088,110,0.5,0.4025738818415281
